Timestamp,Heart Rate,RR Interval
1740144263.794104,177,0.344
1740144263.794108,177,0.34
1740144264.78482,178,0.34
1740144264.7848508,178,0.344
1740144264.784857,178,0.34
1740144265.7727182,179,0.344
1740144265.772759,179,0.336
1740144265.772767,179,0.336
1740144266.762144,180,0.348
1740144266.762173,180,0.336
1740144266.762177,180,0.34
1740144267.754219,181,0.336
1740144267.754246,181,0.336
1740144267.75425,181,0.356
1740144268.74318,182,0.316
1740144268.74321,182,0.328
1740144268.743215,182,0.344
1740144269.733139,183,0.336
1740144269.733165,183,0.336
1740144269.7331688,183,0.332
1740144269.733173,183,0.332
1740144270.7226,183,0.336
1740144270.7226398,183,0.332
1740144270.7226481,183,0.356
1740144271.713526,184,0.312
1740144271.71356,184,0.332
1740144271.713568,184,0.34
1740144272.70375,184,0.332
1740144272.703786,184,0.336
1740144272.703794,184,0.336
1740144273.692359,184,0.328
1740144273.692388,184,0.336
1740144273.692395,184,0.332
1740144274.6824782,184,0.332
1740144274.682509,184,0.332
1740144274.682513,184,0.332
1740144275.6720152,184,0.336
1740144275.6720371,184,0.332
1740144275.672044,184,0.336
1740144276.663597,184,0.336
1740144276.663635,184,0.328
1740144276.663641,184,0.336
1740144277.653881,184,0.328
1740144277.653909,184,0.332
1740144277.653913,184,0.34
1740144278.644044,184,0.328
1740144278.644085,184,0.336
1740144278.6440918,184,0.336
1740144279.631773,185,0.328
1740144279.631797,185,0.339
1740144279.6318028,185,0.328
1740144281.616234,184,0.336
1740144281.616273,184,0.336
1740144281.61628,184,0.328
1740144282.603652,185,0.332
1740144282.603682,185,0.332
1740144282.6036859,185,0.328
1740144283.591845,185,0.336
1740144283.5918689,185,0.332
1740144283.591876,185,0.332
1740144284.584641,185,0.356
1740144284.584678,185,0.308
1740144284.5846841,185,0.336
1740144284.5846899,185,0.336
1740144285.5751328,184,0.328
1740144285.575161,184,0.336
1740144285.575165,184,0.336
1740144286.561377,184,0.332
1740144286.5614002,184,0.332
1740144286.561486,184,0.336
1740144287.5529861,184,0.328
1740144287.55302,184,0.34
1740144287.5530272,184,0.336
1740144288.543798,184,0.332
1740144288.543827,184,0.336
1740144288.543832,184,0.328
1740144289.533615,184,0.336
1740144289.533649,184,0.34
1740144289.533653,184,0.332
1740144290.522559,183,0.336
1740144290.5226,183,0.34
1740144290.522607,183,0.332
1740144291.5144289,183,0.336
1740144291.514463,183,0.344
1740144291.5144682,183,0.332
1740144292.5040178,183,0.34
1740144292.504052,183,0.344
1740144292.5040572,183,0.34
1740144293.495821,181,0.344
